game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
392,392,20,17,19,19,0,4,56,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
393,393,26,32,17,28,1,5,69,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
394,394,23,27,35,18,2,4,63,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
395,395,10,12,13,33,3,3,43,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
396,396,37,17,30,19,0,4,51,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
397,397,22,35,22,24,1,5,86,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
398,398,21,19,17,19,0,5,73,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
399,399,19,15,24,29,3,4,59,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
400,400,34,25,26,31,0,6,89,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
401,401,22,34,26,21,1,4,60,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
402,402,18,14,45,21,2,4,64,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
403,403,18,16,20,40,3,4,69,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
404,404,36,25,37,25,2,5,69,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
405,405,16,30,17,18,1,4,64,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
406,406,33,19,33,31,tie,5,82,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
407,407,19,26,23,36,3,4,53,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
408,408,41,16,21,23,0,5,79,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
409,409,18,45,16,21,1,4,67,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
410,410,21,27,31,19,2,5,70,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
411,411,20,15,10,36,3,4,59,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
412,412,26,15,18,14,0,3,43,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
413,413,22,39,20,27,1,5,81,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
414,414,19,22,37,24,2,4,64,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
415,415,18,15,15,37,3,4,61,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
416,416,36,20,24,25,0,4,49,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
417,417,21,35,12,22,1,4,72,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
418,418,21,22,35,22,2,4,62,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
419,419,19,16,23,37,3,4,56,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
420,420,23,18,16,13,0,3,44,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
421,421,32,42,21,21,1,5,73,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
422,422,21,17,25,21,2,4,58,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
423,423,18,19,18,31,3,4,67,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
424,424,20,22,25,21,2,4,61,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
425,425,19,41,20,22,1,4,59,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
426,426,20,18,30,19,2,3,41,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
427,427,17,21,22,30,3,4,52,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
428,428,43,19,28,25,0,5,68,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
429,429,17,38,16,20,1,4,65,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
430,430,32,30,31,29,0,5,74,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
431,431,35,19,25,51,3,5,77,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
432,432,38,16,17,13,0,3,45,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
433,433,28,21,21,18,0,5,86,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
434,434,17,11,20,14,2,4,50,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
435,435,25,23,21,38,3,5,82,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
436,436,40,19,21,19,0,4,58,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
437,437,22,31,19,16,1,5,76,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
438,438,22,23,38,17,2,4,66,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
439,439,27,26,26,46,3,5,74,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
440,440,32,28,21,22,0,4,51,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
441,441,31,31,26,27,tie,5,83,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
442,442,22,17,30,16,2,4,57,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
443,443,22,19,15,36,3,4,55,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
444,444,34,18,16,17,0,3,41,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
445,445,23,26,29,28,2,5,72,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
446,446,22,20,19,19,0,5,71,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
447,447,28,20,18,32,3,4,70,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
448,448,40,22,21,16,0,5,81,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
449,449,25,42,20,19,1,5,75,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
450,450,16,19,43,16,2,5,73,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
451,451,26,25,29,45,3,6,95,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
452,452,35,24,33,24,0,5,79,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
453,453,27,42,25,33,1,5,68,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
454,454,27,17,28,16,2,3,53,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
455,455,23,18,25,37,3,4,56,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
456,456,39,24,22,16,0,4,62,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
457,457,21,35,14,15,1,3,53,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
458,458,21,20,24,15,2,4,51,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
459,459,28,24,19,32,3,4,57,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
460,460,36,21,21,16,0,5,81,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
461,461,28,44,19,30,1,5,82,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
462,462,32,31,58,26,2,6,85,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
463,463,25,28,37,40,3,5,71,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
464,464,29,20,22,22,0,5,79,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
465,465,19,10,18,20,3,4,55,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
466,466,22,28,41,27,2,5,70,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
467,467,18,20,24,20,2,4,49,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
468,468,42,22,17,21,0,4,54,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
469,469,20,17,20,20,tie,3,45,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
470,470,19,15,41,17,2,3,45,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
471,471,14,15,13,34,3,3,41,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
472,472,37,29,21,19,0,5,74,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
473,473,21,43,24,27,1,5,72,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
474,474,33,38,39,21,2,6,103,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
475,475,21,17,22,25,3,4,64,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
476,476,42,24,26,25,0,5,83,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
477,477,28,24,26,23,0,5,85,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
478,478,10,19,28,14,2,4,73,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
479,479,25,18,14,23,0,3,50,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
480,480,38,18,20,21,0,4,50,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
481,481,25,35,18,17,1,4,57,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
482,482,10,13,29,12,2,4,52,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
483,483,29,22,24,39,3,5,66,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
484,484,38,21,28,28,0,5,87,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
485,485,26,40,29,24,1,5,80,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
486,486,22,26,43,20,2,5,65,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
487,487,19,27,22,38,3,5,83,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
488,488,45,25,20,14,0,4,51,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
489,489,22,42,22,18,1,4,69,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
490,490,27,19,34,23,2,4,64,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
491,491,22,29,25,30,3,4,55,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
492,492,37,20,16,17,0,4,54,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
493,493,27,33,20,24,1,4,69,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
494,494,24,22,32,26,2,5,78,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
495,495,16,16,20,25,3,3,47,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
496,496,21,11,16,11,0,3,44,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
497,497,22,25,21,25,tie,4,65,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
498,498,28,22,37,27,2,5,78,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
