game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
242,242,27,28,34,21,2,5,73,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
243,243,28,27,27,28,tie,5,77,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
244,244,19,23,22,27,3,5,66,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
245,245,28,41,25,23,1,5,83,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
246,246,28,24,18,24,0,4,73,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
247,247,20,18,21,29,3,4,61,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
248,248,33,26,22,15,0,4,51,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
249,249,19,36,23,18,1,4,52,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
250,250,22,22,22,14,tie,3,51,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
251,251,21,22,18,32,3,4,49,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
252,252,16,26,21,23,1,4,59,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
253,253,22,31,16,23,1,4,49,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
254,254,25,19,33,21,2,4,54,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
255,255,21,28,27,50,3,5,63,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
256,256,22,15,18,19,0,4,52,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
257,257,20,39,16,15,1,4,63,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
258,258,15,15,24,16,2,3,40,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
259,259,27,24,17,36,3,4,63,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
260,260,30,16,20,17,0,4,47,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
261,261,31,44,27,28,1,5,75,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
262,262,20,16,31,14,2,3,45,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
263,263,16,12,12,35,3,3,47,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
264,264,37,19,21,18,0,4,49,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
265,265,28,33,26,34,3,5,71,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
266,266,18,16,28,17,2,4,46,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
267,267,21,21,29,33,3,4,55,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
268,268,36,23,22,35,0,5,70,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
269,269,23,32,20,19,1,4,56,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
270,270,20,19,30,17,2,4,50,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
271,271,18,22,26,22,2,4,55,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
272,272,40,24,19,21,0,4,50,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
273,273,18,40,22,22,1,4,55,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
274,274,29,30,53,23,2,5,81,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
275,275,25,22,30,43,3,5,74,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
276,276,34,23,16,18,0,4,56,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
277,277,22,33,18,19,1,4,47,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
278,278,15,9,15,12,tie,3,54,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
279,279,26,22,25,30,3,4,73,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
280,280,29,17,18,16,0,4,56,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
281,281,26,37,19,23,1,5,70,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
282,282,34,23,19,19,0,5,71,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
283,283,25,25,28,40,3,5,70,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
284,284,34,24,20,19,0,5,76,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
285,285,27,34,24,30,1,5,72,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
