game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,focal_seat
397,397,53,48,0,6,74,HeuristicAgent,GreedyAgent,1
398,398,53,30,0,5,68,GreedyAgent,HeuristicAgent,0
399,399,42,55,1,5,69,HeuristicAgent,GreedyAgent,1
400,400,82,67,0,7,98,GreedyAgent,HeuristicAgent,0
401,401,50,50,tie,4,62,HeuristicAgent,GreedyAgent,1
402,402,58,64,1,5,68,GreedyAgent,HeuristicAgent,0
403,403,45,64,1,5,77,HeuristicAgent,GreedyAgent,1
404,404,73,69,0,7,99,GreedyAgent,HeuristicAgent,0
405,405,42,49,1,4,61,HeuristicAgent,GreedyAgent,1
406,406,64,67,1,6,78,GreedyAgent,HeuristicAgent,0
407,407,49,62,1,5,60,HeuristicAgent,GreedyAgent,1
408,408,50,45,0,4,56,GreedyAgent,HeuristicAgent,0
409,409,46,59,1,5,73,HeuristicAgent,GreedyAgent,1
410,410,66,61,0,6,85,GreedyAgent,HeuristicAgent,0
411,411,34,49,1,4,52,HeuristicAgent,GreedyAgent,1
412,412,42,33,0,4,62,GreedyAgent,HeuristicAgent,0
413,413,54,54,tie,5,72,HeuristicAgent,GreedyAgent,1
414,414,52,39,0,4,54,GreedyAgent,HeuristicAgent,0
415,415,51,66,1,5,73,HeuristicAgent,GreedyAgent,1
416,416,51,43,0,4,54,GreedyAgent,HeuristicAgent,0
417,417,38,30,0,4,55,HeuristicAgent,GreedyAgent,1
418,418,73,46,0,5,60,GreedyAgent,HeuristicAgent,0
419,419,43,67,1,5,64,HeuristicAgent,GreedyAgent,1
420,420,51,43,0,4,52,GreedyAgent,HeuristicAgent,0
421,421,50,64,1,6,84,HeuristicAgent,GreedyAgent,1
422,422,51,36,0,4,54,GreedyAgent,HeuristicAgent,0
423,423,45,47,1,4,59,HeuristicAgent,GreedyAgent,1
424,424,46,41,0,5,76,GreedyAgent,HeuristicAgent,0
425,425,45,56,1,5,59,HeuristicAgent,GreedyAgent,1
426,426,41,45,1,3,42,GreedyAgent,HeuristicAgent,0
427,427,34,33,0,4,45,HeuristicAgent,GreedyAgent,1
428,428,38,62,1,6,69,GreedyAgent,HeuristicAgent,0
429,429,51,62,1,5,68,HeuristicAgent,GreedyAgent,1
430,430,73,56,0,6,79,GreedyAgent,HeuristicAgent,0
431,431,51,62,1,5,64,HeuristicAgent,GreedyAgent,1
432,432,47,40,0,5,79,GreedyAgent,HeuristicAgent,0
433,433,27,67,1,5,81,HeuristicAgent,GreedyAgent,1
434,434,48,46,0,4,55,GreedyAgent,HeuristicAgent,0
435,435,62,66,1,6,93,HeuristicAgent,GreedyAgent,1
436,436,54,36,0,4,51,GreedyAgent,HeuristicAgent,0
437,437,60,53,0,5,72,HeuristicAgent,GreedyAgent,1
438,438,54,43,0,4,52,GreedyAgent,HeuristicAgent,0
439,439,45,76,1,6,78,HeuristicAgent,GreedyAgent,1
440,440,57,29,0,5,59,GreedyAgent,HeuristicAgent,0
441,441,51,77,1,6,71,HeuristicAgent,GreedyAgent,1
442,442,45,48,1,5,72,GreedyAgent,HeuristicAgent,0
443,443,45,55,1,5,59,HeuristicAgent,GreedyAgent,1
444,444,33,25,0,3,39,GreedyAgent,HeuristicAgent,0
445,445,51,39,0,5,68,HeuristicAgent,GreedyAgent,1
446,446,35,43,1,5,59,GreedyAgent,HeuristicAgent,0
447,447,38,46,1,4,63,HeuristicAgent,GreedyAgent,1
448,448,43,56,1,5,62,GreedyAgent,HeuristicAgent,0
449,449,44,48,1,5,68,HeuristicAgent,GreedyAgent,1
450,450,67,45,0,5,66,GreedyAgent,HeuristicAgent,0
451,451,57,52,0,6,85,HeuristicAgent,GreedyAgent,1
452,452,54,34,0,5,70,GreedyAgent,HeuristicAgent,0
453,453,33,57,1,5,78,HeuristicAgent,GreedyAgent,1
454,454,45,32,0,3,44,GreedyAgent,HeuristicAgent,0
455,455,51,74,1,6,82,HeuristicAgent,GreedyAgent,1
456,456,54,48,0,5,68,GreedyAgent,HeuristicAgent,0
457,457,23,61,1,4,57,HeuristicAgent,GreedyAgent,1
458,458,43,38,0,4,49,GreedyAgent,HeuristicAgent,0
459,459,47,48,1,4,49,HeuristicAgent,GreedyAgent,1
460,460,56,55,0,5,74,GreedyAgent,HeuristicAgent,0
461,461,55,86,1,6,79,HeuristicAgent,GreedyAgent,1
462,462,66,62,0,6,80,GreedyAgent,HeuristicAgent,0
463,463,42,59,1,5,73,HeuristicAgent,GreedyAgent,1
464,464,56,36,0,5,70,GreedyAgent,HeuristicAgent,0
465,465,39,68,1,5,77,HeuristicAgent,GreedyAgent,1
466,466,54,57,1,5,62,GreedyAgent,HeuristicAgent,0
467,467,48,62,1,5,54,HeuristicAgent,GreedyAgent,1
468,468,61,29,0,4,52,GreedyAgent,HeuristicAgent,0
469,469,36,42,1,3,41,HeuristicAgent,GreedyAgent,1
470,470,48,45,0,4,53,GreedyAgent,HeuristicAgent,0
471,471,23,48,1,3,37,HeuristicAgent,GreedyAgent,1
472,472,54,53,0,6,83,GreedyAgent,HeuristicAgent,0
473,473,55,50,0,5,73,HeuristicAgent,GreedyAgent,1
474,474,67,69,1,8,124,GreedyAgent,HeuristicAgent,0
475,475,34,63,1,5,67,HeuristicAgent,GreedyAgent,1
476,476,75,43,0,5,80,GreedyAgent,HeuristicAgent,0
477,477,44,36,0,5,82,HeuristicAgent,GreedyAgent,1
478,478,60,52,0,6,85,GreedyAgent,HeuristicAgent,0
479,479,44,50,1,4,50,HeuristicAgent,GreedyAgent,1
480,480,54,37,0,4,46,GreedyAgent,HeuristicAgent,0
481,481,35,71,1,5,67,HeuristicAgent,GreedyAgent,1
482,482,50,41,0,5,75,GreedyAgent,HeuristicAgent,0
483,483,43,63,1,5,71,HeuristicAgent,GreedyAgent,1
484,484,49,59,1,5,76,GreedyAgent,HeuristicAgent,0
485,485,42,58,1,5,72,HeuristicAgent,GreedyAgent,1
486,486,57,48,0,5,58,GreedyAgent,HeuristicAgent,0
487,487,54,58,1,6,84,HeuristicAgent,GreedyAgent,1
488,488,79,43,0,5,66,GreedyAgent,HeuristicAgent,0
489,489,39,61,1,4,55,HeuristicAgent,GreedyAgent,1
490,490,51,44,0,4,64,GreedyAgent,HeuristicAgent,0
491,491,49,59,1,6,86,HeuristicAgent,GreedyAgent,1
492,492,69,47,0,5,69,GreedyAgent,HeuristicAgent,0
493,493,42,61,1,4,63,HeuristicAgent,GreedyAgent,1
494,494,58,46,0,6,83,GreedyAgent,HeuristicAgent,0
495,495,25,36,1,3,40,HeuristicAgent,GreedyAgent,1
496,496,29,17,0,4,42,GreedyAgent,HeuristicAgent,0
497,497,46,66,1,5,76,HeuristicAgent,GreedyAgent,1
498,498,48,33,0,4,52,GreedyAgent,HeuristicAgent,0
499,499,33,36,1,4,52,HeuristicAgent,GreedyAgent,1
500,500,55,36,0,4,55,GreedyAgent,HeuristicAgent,0
501,501,42,51,1,4,54,HeuristicAgent,GreedyAgent,1
502,502,64,43,0,5,65,GreedyAgent,HeuristicAgent,0
503,503,56,58,1,5,67,HeuristicAgent,GreedyAgent,1
504,504,69,60,0,6,80,GreedyAgent,HeuristicAgent,0
505,505,32,39,1,3,41,HeuristicAgent,GreedyAgent,1
506,506,44,43,0,4,56,GreedyAgent,HeuristicAgent,0
507,507,43,64,1,6,83,HeuristicAgent,GreedyAgent,1
508,508,44,36,0,5,74,GreedyAgent,HeuristicAgent,0
509,509,32,56,1,5,72,HeuristicAgent,GreedyAgent,1
510,510,52,37,0,4,45,GreedyAgent,HeuristicAgent,0
511,511,54,65,1,6,87,HeuristicAgent,GreedyAgent,1
512,512,61,47,0,6,82,GreedyAgent,HeuristicAgent,0
513,513,40,45,1,4,55,HeuristicAgent,GreedyAgent,1
514,514,39,43,1,4,60,GreedyAgent,HeuristicAgent,0
515,515,41,62,1,5,68,HeuristicAgent,GreedyAgent,1
516,516,46,58,1,5,70,GreedyAgent,HeuristicAgent,0
517,517,36,46,1,4,52,HeuristicAgent,GreedyAgent,1
518,518,60,51,0,5,59,GreedyAgent,HeuristicAgent,0
519,519,28,46,1,3,48,HeuristicAgent,GreedyAgent,1
520,520,56,58,1,6,79,GreedyAgent,HeuristicAgent,0
521,521,47,59,1,5,63,HeuristicAgent,GreedyAgent,1
522,522,56,25,0,5,68,GreedyAgent,HeuristicAgent,0
523,523,45,56,1,5,59,HeuristicAgent,GreedyAgent,1
524,524,61,43,0,6,86,GreedyAgent,HeuristicAgent,0
525,525,52,60,1,5,63,HeuristicAgent,GreedyAgent,1
526,526,47,43,0,4,68,GreedyAgent,HeuristicAgent,0
527,527,47,44,0,4,53,HeuristicAgent,GreedyAgent,1
528,528,51,41,0,4,50,GreedyAgent,HeuristicAgent,0
529,529,44,46,1,5,68,HeuristicAgent,GreedyAgent,1
530,530,73,61,0,6,81,GreedyAgent,HeuristicAgent,0
531,531,37,58,1,5,67,HeuristicAgent,GreedyAgent,1
532,532,61,45,0,5,67,GreedyAgent,HeuristicAgent,0
533,533,46,55,1,4,58,HeuristicAgent,GreedyAgent,1
534,534,58,31,0,5,76,GreedyAgent,HeuristicAgent,0
535,535,68,62,0,6,79,HeuristicAgent,GreedyAgent,1
536,536,56,37,0,4,53,GreedyAgent,HeuristicAgent,0
537,537,63,70,1,7,92,HeuristicAgent,GreedyAgent,1
538,538,71,54,0,5,67,GreedyAgent,HeuristicAgent,0
539,539,42,47,1,5,59,HeuristicAgent,GreedyAgent,1
540,540,62,50,0,5,76,GreedyAgent,HeuristicAgent,0
541,541,24,61,1,5,71,HeuristicAgent,GreedyAgent,1
542,542,74,63,0,6,74,GreedyAgent,HeuristicAgent,0
543,543,39,45,1,4,55,HeuristicAgent,GreedyAgent,1
544,544,71,50,0,5,65,GreedyAgent,HeuristicAgent,0
545,545,49,62,1,5,59,HeuristicAgent,GreedyAgent,1
546,546,75,44,0,5,67,GreedyAgent,HeuristicAgent,0
547,547,35,51,1,4,49,HeuristicAgent,GreedyAgent,1
548,548,54,50,0,5,73,GreedyAgent,HeuristicAgent,0
549,549,63,56,0,6,85,HeuristicAgent,GreedyAgent,1
550,550,60,63,1,6,75,GreedyAgent,HeuristicAgent,0
551,551,61,56,0,5,60,HeuristicAgent,GreedyAgent,1
552,552,40,33,0,3,40,GreedyAgent,HeuristicAgent,0
553,553,42,44,1,6,82,HeuristicAgent,GreedyAgent,1
554,554,68,62,0,6,88,GreedyAgent,HeuristicAgent,0
555,555,58,57,0,5,75,HeuristicAgent,GreedyAgent,1
556,556,37,33,0,3,42,GreedyAgent,HeuristicAgent,0
557,557,28,42,1,4,56,HeuristicAgent,GreedyAgent,1
558,558,58,55,0,5,63,GreedyAgent,HeuristicAgent,0
559,559,45,49,1,4,55,HeuristicAgent,GreedyAgent,1
560,560,56,37,0,4,49,GreedyAgent,HeuristicAgent,0
561,561,48,49,1,4,50,HeuristicAgent,GreedyAgent,1
562,562,53,42,0,4,59,GreedyAgent,HeuristicAgent,0
563,563,51,45,0,5,71,HeuristicAgent,GreedyAgent,1
564,564,55,36,0,4,58,GreedyAgent,HeuristicAgent,0
565,565,41,54,1,5,54,HeuristicAgent,GreedyAgent,1
566,566,73,52,0,5,71,GreedyAgent,HeuristicAgent,0
567,567,48,48,tie,6,81,HeuristicAgent,GreedyAgent,1
568,568,49,38,0,4,57,GreedyAgent,HeuristicAgent,0
569,569,47,53,1,5,69,HeuristicAgent,GreedyAgent,1
570,570,67,50,0,5,62,GreedyAgent,HeuristicAgent,0
571,571,61,63,1,6,70,HeuristicAgent,GreedyAgent,1
572,572,72,44,0,5,71,GreedyAgent,HeuristicAgent,0
573,573,44,53,1,4,49,HeuristicAgent,GreedyAgent,1
574,574,68,40,0,6,76,GreedyAgent,HeuristicAgent,0
575,575,51,71,1,5,75,HeuristicAgent,GreedyAgent,1
576,576,65,41,0,5,85,GreedyAgent,HeuristicAgent,0
577,577,31,55,1,4,47,HeuristicAgent,GreedyAgent,1
578,578,57,43,0,4,56,GreedyAgent,HeuristicAgent,0
579,579,46,68,1,5,75,HeuristicAgent,GreedyAgent,1
580,580,55,46,0,5,64,GreedyAgent,HeuristicAgent,0
581,581,47,66,1,5,58,HeuristicAgent,GreedyAgent,1
582,582,90,56,0,7,108,GreedyAgent,HeuristicAgent,0
583,583,50,57,1,5,65,HeuristicAgent,GreedyAgent,1
584,584,42,37,0,3,45,GreedyAgent,HeuristicAgent,0
585,585,39,62,1,5,74,HeuristicAgent,GreedyAgent,1
586,586,64,57,0,6,80,GreedyAgent,HeuristicAgent,0
587,587,38,41,1,3,40,HeuristicAgent,GreedyAgent,1
588,588,65,43,0,5,65,GreedyAgent,HeuristicAgent,0
589,589,55,43,0,5,64,HeuristicAgent,GreedyAgent,1
590,590,64,40,0,5,74,GreedyAgent,HeuristicAgent,0
591,591,71,63,0,6,85,HeuristicAgent,GreedyAgent,1
592,592,50,47,0,4,58,GreedyAgent,HeuristicAgent,0
593,593,61,64,1,6,87,HeuristicAgent,GreedyAgent,1
594,594,86,54,0,6,90,GreedyAgent,HeuristicAgent,0
595,595,33,52,1,4,67,HeuristicAgent,GreedyAgent,1
596,596,50,40,0,4,53,GreedyAgent,HeuristicAgent,0
597,597,29,44,1,3,37,HeuristicAgent,GreedyAgent,1
598,598,70,36,0,5,64,GreedyAgent,HeuristicAgent,0
599,599,69,73,1,6,85,HeuristicAgent,GreedyAgent,1
600,600,47,33,0,4,53,GreedyAgent,HeuristicAgent,0
601,601,32,45,1,3,35,HeuristicAgent,GreedyAgent,1
602,602,43,40,0,4,51,GreedyAgent,HeuristicAgent,0
603,603,47,65,1,5,71,HeuristicAgent,GreedyAgent,1
604,604,64,45,0,5,73,GreedyAgent,HeuristicAgent,0
605,605,35,54,1,4,50,HeuristicAgent,GreedyAgent,1
606,606,57,38,0,5,64,GreedyAgent,HeuristicAgent,0
607,607,68,37,0,6,87,HeuristicAgent,GreedyAgent,1
608,608,48,39,0,4,45,GreedyAgent,HeuristicAgent,0
609,609,54,61,1,5,78,HeuristicAgent,GreedyAgent,1
610,610,68,72,1,6,85,GreedyAgent,HeuristicAgent,0
611,611,37,39,1,4,59,HeuristicAgent,GreedyAgent,1
612,612,48,42,0,4,53,GreedyAgent,HeuristicAgent,0
613,613,39,46,1,5,80,HeuristicAgent,GreedyAgent,1
614,614,57,53,0,5,64,GreedyAgent,HeuristicAgent,0
615,615,50,62,1,5,76,HeuristicAgent,GreedyAgent,1
616,616,74,35,0,5,61,GreedyAgent,HeuristicAgent,0
617,617,46,64,1,5,77,HeuristicAgent,GreedyAgent,1
618,618,89,64,0,7,79,GreedyAgent,HeuristicAgent,0
619,619,58,50,0,6,84,HeuristicAgent,GreedyAgent,1
620,620,37,30,0,6,76,GreedyAgent,HeuristicAgent,0
621,621,46,63,1,5,59,HeuristicAgent,GreedyAgent,1
622,622,53,52,0,5,64,GreedyAgent,HeuristicAgent,0
623,623,33,64,1,5,63,HeuristicAgent,GreedyAgent,1
624,624,66,59,0,6,87,GreedyAgent,HeuristicAgent,0
625,625,23,46,1,4,61,HeuristicAgent,GreedyAgent,1
626,626,43,41,0,4,56,GreedyAgent,HeuristicAgent,0
627,627,54,78,1,6,73,HeuristicAgent,GreedyAgent,1
628,628,58,58,tie,5,76,GreedyAgent,HeuristicAgent,0
629,629,31,65,1,5,75,HeuristicAgent,GreedyAgent,1
630,630,57,45,0,5,72,GreedyAgent,HeuristicAgent,0
631,631,34,72,1,6,76,HeuristicAgent,GreedyAgent,1
632,632,58,44,0,5,61,GreedyAgent,HeuristicAgent,0
633,633,39,54,1,5,66,HeuristicAgent,GreedyAgent,1
634,634,67,50,0,5,69,GreedyAgent,HeuristicAgent,0
635,635,41,43,1,4,48,HeuristicAgent,GreedyAgent,1
636,636,60,49,0,5,63,GreedyAgent,HeuristicAgent,0
637,637,39,44,1,6,80,HeuristicAgent,GreedyAgent,1
638,638,51,30,0,4,52,GreedyAgent,HeuristicAgent,0
639,639,68,67,0,6,79,HeuristicAgent,GreedyAgent,1
640,640,70,34,0,5,78,GreedyAgent,HeuristicAgent,0
641,641,58,67,1,7,99,HeuristicAgent,GreedyAgent,1
642,642,64,45,0,5,53,GreedyAgent,HeuristicAgent,0
643,643,58,48,0,5,59,HeuristicAgent,GreedyAgent,1
644,644,67,47,0,6,98,GreedyAgent,HeuristicAgent,0
645,645,56,64,1,5,68,HeuristicAgent,GreedyAgent,1
646,646,64,46,0,5,78,GreedyAgent,HeuristicAgent,0
647,647,46,71,1,5,75,HeuristicAgent,GreedyAgent,1
648,648,59,50,0,5,75,GreedyAgent,HeuristicAgent,0
649,649,57,80,1,6,86,HeuristicAgent,GreedyAgent,1
650,650,77,35,0,5,72,GreedyAgent,HeuristicAgent,0
651,651,41,59,1,6,86,HeuristicAgent,GreedyAgent,1
652,652,62,51,0,5,74,GreedyAgent,HeuristicAgent,0
653,653,43,56,1,5,62,HeuristicAgent,GreedyAgent,1
654,654,26,40,1,4,57,GreedyAgent,HeuristicAgent,0
655,655,41,70,1,6,84,HeuristicAgent,GreedyAgent,1
656,656,79,45,0,6,88,GreedyAgent,HeuristicAgent,0
657,657,52,57,1,5,63,HeuristicAgent,GreedyAgent,1
658,658,67,44,0,5,65,GreedyAgent,HeuristicAgent,0
659,659,35,49,1,3,41,HeuristicAgent,GreedyAgent,1
660,660,53,60,1,5,64,GreedyAgent,HeuristicAgent,0
661,661,48,42,0,4,58,HeuristicAgent,GreedyAgent,1
662,662,55,41,0,5,81,GreedyAgent,HeuristicAgent,0
663,663,40,42,1,4,45,HeuristicAgent,GreedyAgent,1
664,664,63,40,0,5,66,GreedyAgent,HeuristicAgent,0
665,665,32,62,1,5,61,HeuristicAgent,GreedyAgent,1
666,666,68,40,0,5,71,GreedyAgent,HeuristicAgent,0
667,667,55,52,0,5,66,HeuristicAgent,GreedyAgent,1
668,668,59,53,0,5,60,GreedyAgent,HeuristicAgent,0
669,669,37,42,1,4,51,HeuristicAgent,GreedyAgent,1
670,670,45,50,1,5,69,GreedyAgent,HeuristicAgent,0
671,671,40,57,1,4,49,HeuristicAgent,GreedyAgent,1
672,672,52,25,0,4,58,GreedyAgent,HeuristicAgent,0
673,673,66,69,1,6,90,HeuristicAgent,GreedyAgent,1
674,674,64,51,0,5,66,GreedyAgent,HeuristicAgent,0
675,675,55,60,1,5,64,HeuristicAgent,GreedyAgent,1
676,676,51,43,0,4,56,GreedyAgent,HeuristicAgent,0
677,677,45,45,tie,4,51,HeuristicAgent,GreedyAgent,1
678,678,52,26,0,5,78,GreedyAgent,HeuristicAgent,0
679,679,39,63,1,4,58,HeuristicAgent,GreedyAgent,1
680,680,58,41,0,5,75,GreedyAgent,HeuristicAgent,0
681,681,58,59,1,5,65,HeuristicAgent,GreedyAgent,1
682,682,41,64,1,5,76,GreedyAgent,HeuristicAgent,0
683,683,35,44,1,4,46,HeuristicAgent,GreedyAgent,1
684,684,72,43,0,5,69,GreedyAgent,HeuristicAgent,0
685,685,44,60,1,5,63,HeuristicAgent,GreedyAgent,1
686,686,61,63,1,6,86,GreedyAgent,HeuristicAgent,0
687,687,41,60,1,5,76,HeuristicAgent,GreedyAgent,1
688,688,60,54,0,5,65,GreedyAgent,HeuristicAgent,0
689,689,52,58,1,6,87,HeuristicAgent,GreedyAgent,1
690,690,78,39,0,6,71,GreedyAgent,HeuristicAgent,0
691,691,45,59,1,4,53,HeuristicAgent,GreedyAgent,1
692,692,49,41,0,4,54,GreedyAgent,HeuristicAgent,0
693,693,40,48,1,5,70,HeuristicAgent,GreedyAgent,1
694,694,57,46,0,4,53,GreedyAgent,HeuristicAgent,0
695,695,42,50,1,4,58,HeuristicAgent,GreedyAgent,1
696,696,65,48,0,5,65,GreedyAgent,HeuristicAgent,0
697,697,55,87,1,6,84,HeuristicAgent,GreedyAgent,1
698,698,65,47,0,5,60,GreedyAgent,HeuristicAgent,0
699,699,44,52,1,5,71,HeuristicAgent,GreedyAgent,1
700,700,49,35,0,4,47,GreedyAgent,HeuristicAgent,0
701,701,42,50,1,4,48,HeuristicAgent,GreedyAgent,1
702,702,39,34,0,3,40,GreedyAgent,HeuristicAgent,0
703,703,73,62,0,7,95,HeuristicAgent,GreedyAgent,1
704,704,53,35,0,4,61,GreedyAgent,HeuristicAgent,0
705,705,42,52,1,5,65,HeuristicAgent,GreedyAgent,1
706,706,55,51,0,5,83,GreedyAgent,HeuristicAgent,0
707,707,27,65,1,4,59,HeuristicAgent,GreedyAgent,1
708,708,59,51,0,5,62,GreedyAgent,HeuristicAgent,0
709,709,45,70,1,5,68,HeuristicAgent,GreedyAgent,1
710,710,45,30,0,3,34,GreedyAgent,HeuristicAgent,0
711,711,45,67,1,6,74,HeuristicAgent,GreedyAgent,1
712,712,52,30,0,4,52,GreedyAgent,HeuristicAgent,0
713,713,52,57,1,5,58,HeuristicAgent,GreedyAgent,1
714,714,43,51,1,4,59,GreedyAgent,HeuristicAgent,0
715,715,60,54,0,6,80,HeuristicAgent,GreedyAgent,1
716,716,59,36,0,4,60,GreedyAgent,HeuristicAgent,0
