game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,focal_seat
425,425,47,57,1,5,61,HeuristicAgent,BoundedGreedyAgent,1
426,426,59,48,0,5,65,BoundedGreedyAgent,HeuristicAgent,0
427,427,31,34,1,4,47,HeuristicAgent,BoundedGreedyAgent,1
428,428,69,53,0,6,79,BoundedGreedyAgent,HeuristicAgent,0
429,429,54,56,1,5,62,HeuristicAgent,BoundedGreedyAgent,1
430,430,70,60,0,6,75,BoundedGreedyAgent,HeuristicAgent,0
431,431,46,63,1,5,63,HeuristicAgent,BoundedGreedyAgent,1
432,432,37,47,1,5,80,BoundedGreedyAgent,HeuristicAgent,0
433,433,39,53,1,5,75,HeuristicAgent,BoundedGreedyAgent,1
434,434,50,30,0,4,48,BoundedGreedyAgent,HeuristicAgent,0
435,435,56,63,1,6,83,HeuristicAgent,BoundedGreedyAgent,1
436,436,39,36,0,4,49,BoundedGreedyAgent,HeuristicAgent,0
437,437,56,42,0,5,66,HeuristicAgent,BoundedGreedyAgent,1
438,438,34,32,0,4,55,BoundedGreedyAgent,HeuristicAgent,0
439,439,68,59,0,6,90,HeuristicAgent,BoundedGreedyAgent,1
440,440,73,37,0,5,58,BoundedGreedyAgent,HeuristicAgent,0
441,441,34,51,1,5,63,HeuristicAgent,BoundedGreedyAgent,1
442,442,52,47,0,5,74,BoundedGreedyAgent,HeuristicAgent,0
443,443,42,60,1,5,63,HeuristicAgent,BoundedGreedyAgent,1
444,444,35,23,0,3,39,BoundedGreedyAgent,HeuristicAgent,0
445,445,41,50,1,5,72,HeuristicAgent,BoundedGreedyAgent,1
446,446,33,45,1,5,63,BoundedGreedyAgent,HeuristicAgent,0
447,447,42,26,0,4,61,HeuristicAgent,BoundedGreedyAgent,1
448,448,40,36,0,5,63,BoundedGreedyAgent,HeuristicAgent,0
449,449,48,46,0,5,70,HeuristicAgent,BoundedGreedyAgent,1
450,450,46,43,0,5,60,BoundedGreedyAgent,HeuristicAgent,0
451,451,65,50,0,6,89,HeuristicAgent,BoundedGreedyAgent,1
452,452,50,41,0,5,68,BoundedGreedyAgent,HeuristicAgent,0
453,453,25,73,1,5,78,HeuristicAgent,BoundedGreedyAgent,1
454,454,41,24,0,3,40,BoundedGreedyAgent,HeuristicAgent,0
455,455,57,65,1,6,80,HeuristicAgent,BoundedGreedyAgent,1
456,456,55,45,0,5,61,BoundedGreedyAgent,HeuristicAgent,0
457,457,28,56,1,4,59,HeuristicAgent,BoundedGreedyAgent,1
458,458,46,32,0,4,47,BoundedGreedyAgent,HeuristicAgent,0
459,459,42,50,1,4,51,HeuristicAgent,BoundedGreedyAgent,1
460,460,55,49,0,5,73,BoundedGreedyAgent,HeuristicAgent,0
461,461,62,76,1,6,78,HeuristicAgent,BoundedGreedyAgent,1
462,462,70,56,0,6,78,BoundedGreedyAgent,HeuristicAgent,0
463,463,41,78,1,6,78,HeuristicAgent,BoundedGreedyAgent,1
464,464,58,22,0,5,76,BoundedGreedyAgent,HeuristicAgent,0
465,465,36,67,1,5,73,HeuristicAgent,BoundedGreedyAgent,1
466,466,60,47,0,5,60,BoundedGreedyAgent,HeuristicAgent,0
467,467,43,62,1,5,59,HeuristicAgent,BoundedGreedyAgent,1
468,468,56,41,0,5,71,BoundedGreedyAgent,HeuristicAgent,0
469,469,47,49,1,4,51,HeuristicAgent,BoundedGreedyAgent,1
470,470,68,47,0,6,74,BoundedGreedyAgent,HeuristicAgent,0
471,471,18,50,1,3,34,HeuristicAgent,BoundedGreedyAgent,1
472,472,64,56,0,6,81,BoundedGreedyAgent,HeuristicAgent,0
473,473,54,48,0,5,76,HeuristicAgent,BoundedGreedyAgent,1
474,474,72,79,1,7,109,BoundedGreedyAgent,HeuristicAgent,0
475,475,40,60,1,5,67,HeuristicAgent,BoundedGreedyAgent,1
476,476,59,66,1,5,72,BoundedGreedyAgent,HeuristicAgent,0
477,477,51,26,0,5,88,HeuristicAgent,BoundedGreedyAgent,1
478,478,61,51,0,6,85,BoundedGreedyAgent,HeuristicAgent,0
479,479,40,47,1,4,47,HeuristicAgent,BoundedGreedyAgent,1
480,480,51,29,0,4,46,BoundedGreedyAgent,HeuristicAgent,0
481,481,56,76,1,6,78,HeuristicAgent,BoundedGreedyAgent,1
482,482,55,50,0,6,79,BoundedGreedyAgent,HeuristicAgent,0
483,483,58,47,0,5,77,HeuristicAgent,BoundedGreedyAgent,1
484,484,60,52,0,5,69,BoundedGreedyAgent,HeuristicAgent,0
485,485,44,58,1,5,74,HeuristicAgent,BoundedGreedyAgent,1
486,486,65,42,0,5,60,BoundedGreedyAgent,HeuristicAgent,0
487,487,52,66,1,6,88,HeuristicAgent,BoundedGreedyAgent,1
488,488,85,40,0,5,67,BoundedGreedyAgent,HeuristicAgent,0
489,489,28,67,1,4,53,HeuristicAgent,BoundedGreedyAgent,1
490,490,59,39,0,4,62,BoundedGreedyAgent,HeuristicAgent,0
491,491,58,47,0,5,75,HeuristicAgent,BoundedGreedyAgent,1
492,492,66,50,0,5,69,BoundedGreedyAgent,HeuristicAgent,0
493,493,40,52,1,4,60,HeuristicAgent,BoundedGreedyAgent,1
494,494,36,46,1,5,64,BoundedGreedyAgent,HeuristicAgent,0
495,495,28,45,1,3,41,HeuristicAgent,BoundedGreedyAgent,1
496,496,20,15,0,4,46,BoundedGreedyAgent,HeuristicAgent,0
497,497,47,69,1,5,67,HeuristicAgent,BoundedGreedyAgent,1
498,498,49,35,0,5,73,BoundedGreedyAgent,HeuristicAgent,0
