game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
129,129,9,49,1,5,83,RandomAgent,HeuristicAgent,1
130,130,47,3,0,4,83,HeuristicAgent,RandomAgent,0
131,131,13,71,1,5,67,RandomAgent,HeuristicAgent,1
132,132,69,0,0,5,97,HeuristicAgent,RandomAgent,0
133,133,6,52,1,4,64,RandomAgent,HeuristicAgent,1
134,134,78,4,0,5,89,HeuristicAgent,RandomAgent,0
135,135,29,24,0,5,90,RandomAgent,HeuristicAgent,1
136,136,64,28,0,5,93,HeuristicAgent,RandomAgent,0
137,137,17,64,1,5,89,RandomAgent,HeuristicAgent,1
138,138,55,32,0,6,97,HeuristicAgent,RandomAgent,0
139,139,21,76,1,5,88,RandomAgent,HeuristicAgent,1
140,140,58,30,0,5,71,HeuristicAgent,RandomAgent,0
141,141,6,49,1,4,64,RandomAgent,HeuristicAgent,1
142,142,57,15,0,5,95,HeuristicAgent,RandomAgent,0
143,143,3,75,1,5,82,RandomAgent,HeuristicAgent,1
144,144,73,28,0,5,86,HeuristicAgent,RandomAgent,0
145,145,8,100,1,7,123,RandomAgent,HeuristicAgent,1
146,146,85,7,0,6,118,HeuristicAgent,RandomAgent,0
147,147,15,40,1,5,102,RandomAgent,HeuristicAgent,1
148,148,36,17,0,3,58,HeuristicAgent,RandomAgent,0
149,149,19,62,1,5,106,RandomAgent,HeuristicAgent,1
150,150,58,21,0,4,82,HeuristicAgent,RandomAgent,0
151,151,25,44,1,4,74,RandomAgent,HeuristicAgent,1
152,152,63,27,0,6,88,HeuristicAgent,RandomAgent,0
153,153,10,78,1,5,80,RandomAgent,HeuristicAgent,1
154,154,59,19,0,5,82,HeuristicAgent,RandomAgent,0
155,155,3,74,1,5,88,RandomAgent,HeuristicAgent,1
156,156,60,6,0,6,105,HeuristicAgent,RandomAgent,0
157,157,4,79,1,6,116,RandomAgent,HeuristicAgent,1
158,158,56,27,0,5,84,HeuristicAgent,RandomAgent,0
159,159,23,53,1,6,120,RandomAgent,HeuristicAgent,1
160,160,56,28,0,4,73,HeuristicAgent,RandomAgent,0
161,161,30,69,1,6,105,RandomAgent,HeuristicAgent,1
162,162,70,3,0,5,93,HeuristicAgent,RandomAgent,0
163,163,15,73,1,5,94,RandomAgent,HeuristicAgent,1
164,164,62,14,0,4,68,HeuristicAgent,RandomAgent,0
165,165,5,59,1,5,84,RandomAgent,HeuristicAgent,1
166,166,67,8,0,5,94,HeuristicAgent,RandomAgent,0
167,167,0,79,1,5,90,RandomAgent,HeuristicAgent,1
168,168,50,29,0,5,91,HeuristicAgent,RandomAgent,0
169,169,16,55,1,4,80,RandomAgent,HeuristicAgent,1
170,170,73,24,0,5,79,HeuristicAgent,RandomAgent,0
171,171,10,82,1,6,113,RandomAgent,HeuristicAgent,1
172,172,49,25,0,4,67,HeuristicAgent,RandomAgent,0
173,173,36,70,1,6,98,RandomAgent,HeuristicAgent,1
174,174,40,12,0,4,81,HeuristicAgent,RandomAgent,0
175,175,12,59,1,4,86,RandomAgent,HeuristicAgent,1
176,176,92,13,0,6,112,HeuristicAgent,RandomAgent,0
177,177,0,64,1,4,70,RandomAgent,HeuristicAgent,1
178,178,72,16,0,5,81,HeuristicAgent,RandomAgent,0
179,179,14,55,1,4,78,RandomAgent,HeuristicAgent,1
180,180,89,13,0,7,129,HeuristicAgent,RandomAgent,0
181,181,0,92,1,6,110,RandomAgent,HeuristicAgent,1
182,182,42,6,0,4,66,HeuristicAgent,RandomAgent,0
183,183,13,60,1,5,100,RandomAgent,HeuristicAgent,1
184,184,52,0,0,4,64,HeuristicAgent,RandomAgent,0
185,185,28,45,1,5,77,RandomAgent,HeuristicAgent,1
186,186,64,6,0,5,88,HeuristicAgent,RandomAgent,0
187,187,5,75,1,5,87,RandomAgent,HeuristicAgent,1
188,188,64,29,0,6,109,HeuristicAgent,RandomAgent,0
189,189,27,73,1,6,106,RandomAgent,HeuristicAgent,1
190,190,54,0,0,3,57,HeuristicAgent,RandomAgent,0
191,191,8,63,1,4,69,RandomAgent,HeuristicAgent,1
192,192,69,19,0,5,96,HeuristicAgent,RandomAgent,0
193,193,16,46,1,4,59,RandomAgent,HeuristicAgent,1
194,194,80,11,0,5,87,HeuristicAgent,RandomAgent,0
195,195,12,59,1,4,68,RandomAgent,HeuristicAgent,1
196,196,36,13,0,3,42,HeuristicAgent,RandomAgent,0
