game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
292,292,48,10,12,7,0,4,103,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
293,293,20,64,18,20,1,9,213,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
294,294,10,18,48,19,2,6,130,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
295,295,9,25,16,66,3,7,164,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
296,296,48,0,28,29,0,6,155,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
297,297,23,58,12,6,1,6,133,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
298,298,14,6,54,10,2,4,109,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
299,299,15,21,12,42,3,6,139,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
300,300,46,10,15,9,0,6,151,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
301,301,1,49,22,23,1,5,128,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
302,302,22,24,43,6,2,6,147,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
303,303,19,22,12,50,3,7,171,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
304,304,27,11,5,5,0,3,58,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
305,305,14,33,14,6,1,3,72,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
306,306,11,33,43,4,2,6,135,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
307,307,16,14,16,48,3,5,121,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
308,308,64,8,9,11,0,6,138,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
309,309,15,34,0,11,1,4,89,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
310,310,19,7,48,13,2,6,134,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
311,311,16,25,1,31,3,5,112,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
312,312,33,16,23,10,0,5,120,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
313,313,2,77,10,17,1,7,167,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
314,314,1,6,47,16,2,4,112,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
315,315,15,5,17,50,3,5,107,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
316,316,49,21,21,14,0,5,107,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
317,317,10,80,5,14,1,7,170,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
